CustomerID,CustomerName,Region,Segment,JoinDate
1,Ananya Das,East,Corporate,19-08-2023
2,Aarav Sharma,South,Consumer,15-03-2022
3,Saanvi Reddy,South,Consumer,01-09-2023
4,Aditya Reddy,South,Consumer,09-02-2022
5,Rahul Reddy,North,Consumer,10-04-2022
6,Vivaan Singh,South,Consumer,18-10-2022
7,Deepak Khan, West ,Consumer,23-02-2023
8,Isha Reddy,East,Consumer,05-02-2024
9,Karthik Patel,West,Consumer,13-09-2022
10,Sai Patel,West,Consumer,06-07-2022
11,Riya Verma,South,Corporate,20-02-2024
12,Sneha Verma,South,Consumer,01-11-2022
13,Rohan Iyer,West,Consumer,08-09-2023
14,Reyansh Das,West,Consumer,11-08-2022
15,Reyansh Verma,West,Consumer,24-06-2023
16,Myra Sharma,East,Corporate,26-03-2024
17,Ishaan Das,North,Consumer,12-11-2022
18,Krishna Khan,South,Corporate,16-04-2024
19,Isha Nair,Central,Consumer,20-11-2022
20,Karthik Reddy,north,Corporate,16-11-2022
21,Deepak Singh,North,Consumer,03-06-2024
22,Isha Das,South,Consumer,18-03-2022
23,Pooja Verma,South,Corporate,05-03-2023
24,Vihaan Verma,South,Corporate,27-04-2023
25,Sai Iyer,North,Consumer,17-07-2023
26,Pooja Khan,East,Consumer,15-06-2023
27,Rahul Singh,South,Corporate,15-02-2023
28,Pooja Patel,West,Corporate,19-03-2023
29,Vihaan Gupta,South,Home Office,17-09-2022
30,Arjun Reddy,West,Home Office,05-05-2024
31,Sai Das,North,Corporate,05-11-2023
32,Saanvi Nair,West,Consumer,11-02-2024
33,Naveen Das,West,Consumer,05-05-2024
34,Naveen Sharma,South,Home Office,17-05-2022
35,Reyansh Nair,South,Corporate,04-06-2023
36,Ishaan Das,South,Corporate,18-05-2022
37,Riya Reddy,Central,Consumer,25-08-2023
38,Isha Singh,Central,Corporate,19-01-2023
39,Kiara Verma,Central,Consumer,02-06-2022
40,Kiara Gupta,North,Corporate,18-01-2024
41,Ananya Iyer,Central,Corporate,16-05-2024
42,Ishaan Reddy,East,Consumer,09-02-2024
43,Kiara Sharma,South,Home Office,27-11-2022
44,Divya Gupta,West,Corporate,09-02-2022
45,Vivaan Gupta,West,Corporate,21-10-2022
46,Naveen Khan,South,Consumer,02-09-2023
47,Divya Sharma,East,Corporate,14-10-2022
48,Aditya Patel,Central,Home Office,05-07-2023
49,Aditya Khan,East,Consumer,26-04-2023
50,Deepak Khan, Central ,Consumer,08-02-2023
51,Reyansh Sharma,central,Consumer,26-04-2024
52,Myra Gupta,West,Consumer,01-10-2023
53,Aarav Iyer, South ,Consumer,09-05-2023
54,Aarav Nair, West ,Corporate,13-01-2023
55,Pooja Gupta,South,Corporate,17-04-2022
56,Myra Singh,West,Consumer,27-01-2023
57,Vivaan Patel,North,Home Office,20-04-2023
58,Karthik Das,West,Consumer,07-06-2024
59,Arun Verma,West,Consumer,14-09-2022
60,Priya Singh,Central,Corporate,21-01-2022
61,Aditya Sharma,west,Corporate,18-12-2023
62,Sai Gupta,North,Home Office,31-05-2023
63,Tara Das, East ,Home Office,06-02-2023
64,Arun Singh,West,Corporate,19-02-2022
65,Pooja Iyer,North,Consumer,16-01-2024
66,Myra Patel,South,Corporate,23-10-2023
67,Saanvi Iyer,Central,Home Office,15-02-2023
68,Myra Patel,Central,Consumer,12-04-2024
69,Rahul Gupta,north,Corporate,02-02-2022
70,Rohan Patel,West,Consumer,12-03-2023
66,Myra Patel,South,Corporate,23-10-2023
27,Rahul Singh,South,Corporate,15-02-2023
67,Saanvi Iyer,Central,Home Office,15-02-2023
